NAME,POSITION,Market size,No of emp,DATE,TITLE,LIKE,DISLIKE,BENEFITS
Emma P.,Unknown,Small-Business,50 or fewer emp.,24-Nov-20,"""Very helpful onboarding from both chris and sabrina""",Integrations and the customer portals we use everyday Review collected by and hosted on G2.com.,Revenue not relaying the exact number.,A few bugs but nothing serious Review collected by and hosted on G2.com.
Unknown,Unknown,Small-Business,50 or fewer emp.,20-Jan-21,"""Powerful tool for customer management""","All-in-one platform, helps the customer success teams centralize all information and interactions concerning their clients' portfolio. Review collected by and hosted on G2.com.",Some contacts are automatically considered part of two organisation depending on the sub-domain even if we attribute it to only one company. Review collected by and hosted on G2.com.,Save time and keep track of client's interactions in an easier way Review collected by and hosted on G2.com.
Unknown,Unknown,Small-Business,50 or fewer emp.,08-Jan-21,"""Great product, better support!""",The ability to merge the CS process into data analysis is really well done. Review collected by and hosted on G2.com.,Sometimes you need some assistance from a data expert to create the items you're looking to have created.  the extreme flexibility sometimes leaves too much of a blank canvas wondering where to begin. Review collected by and hosted on G2.com.,The lack of data transparency/flexibility with our platform. Review collected by and hosted on G2.com.
Vidar S.,Associate Director,Small-Business,50 or fewer emp.,29-Aug-20,"""Love it! Amazing and powerful Customer success tool""","Easy to use, great metrics and analytics. And it just right for our company. Review collected by and hosted on G2.com.",There is so much in the platform so its a bit of a learning curve Review collected by and hosted on G2.com.,There is so many things planhat covers. But for us we are now able to follow all our paying customer how there heatlhscore is changing over time. And we have seen that our churn have gone down. Review collected by and hosted on G2.com.
Unknown,Unknown,Mid-Market,51-1000 emp.,26-May-20,"""Fantastic software for Customer Success""","I've found Planhat incredibly easy to use and fast to set-up. I think we were live within 2-3 weeks of purchasing which for CS software and a medium sized company like us, is phenomenal. The team is great to work with, the product is intuitive and easy to use and we are already getting great value. Review collected by and hosted on G2.com.","Honestly, nothing, This is a really great product. Review collected by and hosted on G2.com.",Go for it.
Unknown,Unknown,Mid-Market,51-1000 emp.,02-Oct-20,"""Amazing system !""",Customization and synchronisation with mails ! These two things are huge advantages that makes Planath really great and very helpful in order to follow all types of customers with different maturity. Review collected by and hosted on G2.com.,For the moment nothing particular to say. Review collected by and hosted on G2.com.,Following different clients with different maturity in the company. Review collected by and hosted on G2.com.
Unknown,Unknown,Small-Business,50 or fewer emp.,14-Oct-20,"""Planhat provides great insides, moreover the possibilities of the software grow very fast!""","Planhat provides a lot of insides into your customers and is expanding the options rapidly. Moreover the support you get from Planhat is great (chat, CSM, and API support). Review collected by and hosted on G2.com.",There are so many options that it is difficult to know what to focus on and to get everything working properly. Review collected by and hosted on G2.com.,Insights into the usage of our software and knowing which customers to focus on. Instead of reactive we can contact our customers proactive! Review collected by and hosted on G2.com.
Unknown,Unknown,Mid-Market,51-1000 emp.,14-Oct-20,"""Très bon CRM pour mon suivi quotidien""",Ergonomie du site ,Le temps requis pour adopter la plateforme Review collected by and hosted on G2.com.,La visibilité sur mes comptes 
Unknown,Unknown,Mid-Market,51-1000 emp.,30-Aug-20,"""Fantastic customer success tool and best in the class""",Simple and just great. Everything is logical and everything is  connected. Review collected by and hosted on G2.com.,No dislikes just fits our needs.        . Review collected by and hosted on G2.com.,With planhat we are able to be proactive with all the accounts that needs our attention. We have Both tech-touch and high-touch customers and Planhat are making our accounts so simple to managing. Review collected by and hosted on G2.com.
Magalí d.,Unknown,Small-Business,50 or fewer emp.,20-Jul-20,"""Complete tool for every customer success team""","I like Usage metrics, Playbooks and Triggers Review collected by and hosted on G2.com.",It would be nice to automatice more actions Review collected by and hosted on G2.com.,We check usage metrics to predict possible churns and then follow retention playbooks in order to avoid them. Review collected by and hosted on G2.com.
Matthew F.,Unknown,Mid-Market,51-1000 emp.,15-May-20,"""As the Managing Director of a Client Success office, Planhat has been easy to use and easy to learn.""","Aside from the ease of use, it gives us customer intelligence and analytics that we never had before! Review collected by and hosted on G2.com.","Still in the early stages of adopting the tool, but so far - no complaints! Review collected by and hosted on G2.com.","It keeps me and my team organized, allowing us to segment our clients in many different ways to pinpoint our focus more easily. Review collected by and hosted on G2.com."
Robert N.,Unknown,Mid-Market,51-1000 emp.,31-Aug-20,"""Fantastic tool for Customer Success professionals""",Clear UI and helpful functions to monitor renewals. Review collected by and hosted on G2.com.,Maybe would be good with a useful forecasting function. Review collected by and hosted on G2.com.,Planhat helps me keep track of my customer renewals which in turn enables me to direct my effort where it is most needed. Review collected by and hosted on G2.com.
Iurie P.,Product Specialist,Small-Business,50 or fewer emp.,12-May-20,"""Great onboarding, great CS support, and mostly straight forward to setup.""",#NAME?,Some non essential features are not fully flashed out. - like: Permissions.,Planhat helped us organize our Customer data and make it available for the whole company.
Unknown,Unknown,Mid-Market,51-1000 emp.,29-Jun-20,"""Lots of data - some unused functionality""",The interface is clean and the different tabs provide insights into customer usage + utilization. Review collected by and hosted on G2.com.,The explanation of different tabs and data points can feel a little clunky. Willing to believe this is driven by our internal implementation team. Review collected by and hosted on G2.com.,"The Problem is a 30,000 view of my customers and their needs / usage. "
Unknown,Unknown,Mid-Market,51-1000 emp.,25-Mar-20,"""Everything Ive been looking for.""",Planhat is the ultimate tool for CSMs. Finally all my information is managed centrally. the team and I can collaborate and we can show the ROI of our daily work with customers.,So far so good. Implementation was fast and smooth and the team are very easy to work with. Review collected by and hosted on G2.com.,"We are genuinely delighted with Planhat. Our team needed a place to bring customer data together that was easy to use, didnt cost the earth and would not take long to implement. Planhat has done exactly that. Review collected by and hosted on G2.com."
Jennifer P.,Head of customer Success,Mid-Market,51-1000 emp.,28-Jan-20,"""Everything we wanted and more we did not know we needed""",We love the ability to automate actions and tasks based on customer behaviour. It is very user friendly to use but also to set-up  including integrations. The number of native integrations ensures we can set up the system in Customer Success without depending on other internal resources. The system is constantly evolving with new features that also include our feedback. Review collected by and hosted on G2.com.,"Not a dislike but the NPS module is a bit light for my needs, but maybe this will still come in the future Review collected by and hosted on G2.com.","Planhat has become the source of truth when it comes to customers and supports the needs of various departments in the company (Marketing, Product Design, Sales). The biggest benefit was to build the customer journey and make it actionable using Planhat while reducing manual tasks. Review collected by and hosted on G2.com."
Unknown,Unknown,Mid-Market,51-1000 emp.,06-Aug-20,"""Very easy-to-use CRM.""",Planhat is easy to implement and straight forward to use. Review collected by and hosted on G2.com.,It could be useful to sort and filter the portfolio easily. Review collected by and hosted on G2.com.,Complete view of every client in portfolio and its activity. Review collected by and hosted on G2.com.
Emily J.,"Director, Customer Success",Mid-Market,51-1000 emp.,29-Sep-19,"""Saves me so much time!""","Planhat has changed how we work across the company. We struggled for a long time to get a customer centric mindset outside the customer success team but thats changed now. I really like the UI, and the way you can very easily find the information you are looking for. Their inbox concept for customer emails and chat is an absolutel life saver when people are on vacation. Generally a big fan. Review collected by and hosted on G2.com.",Not a lot to say here. We were up and running far faster than expected and the product gets better and better.  Review collected by and hosted on G2.com.,"Go for it! Ive been very impressed by their team, their responsiveness and their knowledge.  Review collected by and hosted on G2.com."
Unknown,Unknown,Mid-Market,51-1000 emp.,23-Apr-20,"""Beautiful tool for CS!""","I like how Planhat gives me one tool to get control of my customers and my data. The native integrations helped a lot in setting up. What sticks out the most are two things: How flexible and easy-to-use the solution is, and how the team at Planhat has helped us improve our CS processes. Very impressed overall with Planhat, and would recommend! Review collected by and hosted on G2.com.",More templates and predefined playbooks would be useful. Review collected by and hosted on G2.com.,"We use Planhat not only as our CS tool but as our source of truth for customer data. As a manager, I can follow both customers and CSM activities in a new way. Lastly, the Planhat team will clearly continue to develop the product. Review collected by and hosted on G2.com."
Riccardo F.,Unknown,Small-Business,50 or fewer emp.,06-Aug-20,"""Very user friendly""",Customer health score - all notes where well tracked Review collected by and hosted on G2.com.,Nps score issues -                      . Review collected by and hosted on G2.com.,sometimes it was not synced with other systems Review collected by and hosted on G2.com.
Unknown,Unknown,Mid-Market,51-1000 emp.,06-Aug-20,"""Complete Customer Success Manager tool""","CRM structure, Playbook feature and mainly service provided by their Account Managers Review collected by and hosted on G2.com.","Value for price, the tool is good for small -medium scale contact volume. For higher scale, additional features will be nice to have Review collected by and hosted on G2.com.",We took profit of Planhat to use as a Account Management tool to provide service to our clients Review collected by and hosted on G2.com.
Unknown,Unknown,Mid-Market,51-1000 emp.,14-May-20,"""Great product!""",Its a very powerful tool and really easy to use at the same time. No training needed. Review collected by and hosted on G2.com.,"We would like them to do more webinars and/or events to do networking and have a broader benchmark about how other SaaS companies are dealing with churn, expansion, etc. Review collected by and hosted on G2.com.",Planhat has helped us a lot since we hired it. We wanted to have an early warning system and now our team is contacting customers when they need a proactive reach instead of after they've asked for help or complained about something. Review collected by and hosted on G2.com.
Unknown,Unknown,Mid-Market,51-1000 emp.,09-Mar-20,"""Fantastic Support""",The Planhat team were incredibly patient and tolerant of our specific needs.  They worked tirelessly to find a solution that met and exceeded our requirements.  ,Ideally all Hubspot Marketing email metrics would be recorded against contacts within Planhat Review collected by and hosted on G2.com.,"We're trying to understand and segment our most valuable customers.  By using Planhat, we have been able to understand and predict churn for both sides of our marketplace Review collected by and hosted on G2.com."
Unknown,Unknown,Small-Business,50 or fewer emp.,18-Apr-20,"""Great experience using Planhat""","It's very user friendly, the metrics and dashboards were very useful to our team, to identify potential churn and work on it on time. The playbooks and lifecycle tools are easy to use and to adopt. They have a lot of native integrations which make the work easier as well. Review collected by and hosted on G2.com.",So far nothing to report here. It's been an overall good tool. Review collected by and hosted on G2.com.,"As a SaaS company, it is the software that manages our Customer Success operation. In general our team had a great experience working with Planhat and their CS team. We definitely recommend it! Review collected by and hosted on G2.com."
Unknown,Unknown,Mid-Market,51-1000 emp.,15-May-20,"""Top-notch insight into customer interactions with the platform. Streamlined workflows.""",The specific insights it gives regarding how our clients are utilizing our own platform. Review collected by and hosted on G2.com.,The only challenge is syncing up information with our native CRM. Review collected by and hosted on G2.com.,Account management organization and streamlining my reps' workflows. Review collected by and hosted on G2.com.
Unknown,Unknown,Small-Business,50 or fewer emp.,25-Mar-20,"""Very Impressed""",Strong team to work with.,Nothing so far. We are excited to use it more and get more value over time. Review collected by and hosted on G2.com.,We are really happy with Planhat. The team has been strong to work with and a good resource for CS strategy input and product support. Review collected by and hosted on G2.com.
Unknown,Unknown,Mid-Market,51-1000 emp.,18-May-20,"""Powerful customer success tool""","Easy to implement, user friendly, integration with Salesforce is seamless",Planhat has been a great tool overall for our team. Review collected by and hosted on G2.com.,Better understand customers by product usage and adoption
Unknown,Unknown,Mid-Market,51-1000 emp.,24-Apr-20,"""Beautifully designed for CS professionals""",The ability to view and segment critical customer cohorts easily. Review collected by and hosted on G2.com.,Slightly difficult to figure out filters Review collected by and hosted on G2.com.,"Our global CS team can now better prioritize and structure their daily schedules, focusing on key customers that require action soonest. Review collected by and hosted on G2.com."
Unknown,Unknown,Small-Business,50 or fewer emp.,09-Aug-19,"""Planhat gave us more visibility of customer insights from day 1!""","The procurement side of working with Planhat was great. We went through quite a thorough RFP process and Planhat supported us every step of the way. We never felt like we were being sold to, Chris and the team listened to our requirements and gave solid advice and responses to our questions. It really set up the relationship for success before even signing with Planhat and meant we felt super confident we'd made the right choice once we'd made our final decision.
","I've not found anything that I dislike so far, we're still in the early stages but so far I'm very happy with how the implementation and adoption is going! Review collected by and hosted on G2.com.","Ensure you get a trial and play around in Planhat and definitely ask the team to demo workflows and processes to you, it was great to get an understanding of how Planhat could be used day-to-day by our teams before making a decision. Review collected by and hosted on G2.com."
Unknown,Unknown,Enterprise,> 1000 emp.,30-Apr-20,"""Powerful customer success platform""",Easy to use / User Friendly UI,"Nothing I can think of... great product, does what I need it to Review collected by and hosted on G2.com.",Reduce churn
Unknown,Unknown,Small-Business,50 or fewer emp.,05-Mar-20,"""It boosted our relationship with clients!""",Planhat was a great partner in mantaining good relationship with our clients and tracking all the events we had with them. It definetly helped in reducing our churn and in keeping good customar relationship. We recommend it! Review collected by and hosted on G2.com.,Not much. They are always improving the experience. Review collected by and hosted on G2.com.,"Mainly it was as a CRM, were we keept track of the relationship with clients. Its always important to visualize all your clients so you can prioritize. Review collected by and hosted on G2.com."
Moshe B.,Embeds systems,Small-Business,50 or fewer emp.,15-Apr-19,"""The most freindly software so far, give you all the information you need easy and simple""","I really love the triggers, it's really helps to follow your missions and not miss anything. the personas and the segments are absolutly amazing, you can filter anything that you want to make an orginaized menegment to all your costumers. 
","There isn't anything to dislike, the only thing I would change is maybe the design, more colorful and animated can make your day a lot better :) Review collected by and hosted on G2.com.","just go for it, You will not be disappointed :)
 Review collected by and hosted on G2.com."
Valentin  L.,Head of Customer Success,Small-Business,50 or fewer emp.,10-Oct-19,"""A very ""","To centralize all my CRM data into an all in one Customer Success Tool (sales deals, support tickets & chat, features usage tracking, satisfaction metrics etc.) Review collected by and hosted on G2.com.",The complexity to calculate some feature usage metrics. Review collected by and hosted on G2.com.,"We have improved our communication between all our department : Customer Success, Sales, Product, Legal etc.
"
Unknown,Unknown,Mid-Market,51-1000 emp.,29-Sep-19,"""Great CS tool - powerful and fast to go live""","So much faster to go live than other tools.
",Nothing I dislike. As with any tool you get out what you put in.  Review collected by and hosted on G2.com.,Use their team for input. Dont be worried about implementation time as its fast. Use their model to give access to different teams in your company. Review collected by and hosted on G2.com.
Victtor S.,Diretor de Sucesso do Cliente,Small-Business,50 or fewer emp.,04-Jul-19,"""Integrou os setores de pós-venda e tornou a comunicação e feedbacks mais eficazes""","Gosto da intuitividade do software, é fácil de compreender, principalmente se você já conhece conceitos de Customer Success. É uma ferramenta completa que está sendo muito útil para a equipe de Sucesso do Cliente do Proesc. E também um dos melhores benefícios é que o plano é cobrado pelo número de cliente, e não pela quantidade de usuários ativos, como a maioria dos softwares de CS. Review collected by and hosted on G2.com.","Tem vezes que o software demora alguns minutos para abrir, porém já passei esse feedback para o responsável e ele disse que seria revisada essa questão. Review collected by and hosted on G2.com.",Recomendo utilizar o Planhat para integrar com outros softwares de setores da sua empresa. Review collected by and hosted on G2.com.
matt j.,avp,Enterprise,> 1000 emp.,17-Feb-19,"""Must have tool, solves massive painpoints""","I like how Planhat is specifically built as a CRM for customer success, everything else in the market is designed for either ticketing/troubleshoot or it's sales CRM. Nothing else out there is built for people that have a retention model, who want SaaS clients recurring. Planhat is that golden tool, the salesforce for SaaS businesses and it has come a long way even in the past 12 months. Review collected by and hosted on G2.com.","Would like more video tutorials, it's a very powerful system and if a new team member jumped on, it's best someone show them the ropes. But this is probably mainly due to how customised we have it for us, so this isn't really a criticism. Review collected by and hosted on G2.com.","This was the only tool in the market that allowed us to run processes off the back of sales or customer success requirements. Developing our own playbooks and watching them create end to end accountability over the customer, with full visibility so at any stage we can automatically see where the client is up to and who has to act, I cannot put into words how indispensable Planhat has been to our success. We simply would have had to build a tool from scratch like Planhat to build our company out at the scale it is now if it wasn't for planhat. Review collected by and hosted on G2.com."
Tim J.,CFO,Small-Business,50 or fewer emp.,13-Feb-19,"""Planhat saves us nearly a full FTE""","The playbook, triggers and customer phases have allowed us to grow signficantly whilst producing a material saving hours required to run complex, multi-leg customer management process.  The shift from a prrevious checklist/ticket based system to one that automatically triggers playbooks dependant on the customer phase has probably saved use collectively 6-9 hours per day (on a team of 12) in time spent on followup, rework and manual button clicking. Review collected by and hosted on G2.com.","Not much.  The daily summaries are useful, the UI is simple and intuitive....we really haven't found anything that is a drawback. Review collected by and hosted on G2.com.",Planhat was the best option that we reviewed in terms of ability to handle complex processes and ease of set up (ie. It didnt require an in house dev to maintain) Review collected by and hosted on G2.com.
Unknown,Unknown,Mid-Market,51-1000 emp.,01-Apr-19,"""Potentially it can be a great CS tool but they have a long way to go ""","Planhat is great if you want to work with diifferent data regarding your customer, NPS, health score. With the insights and lifecycle information you are able to view at a glance the health and information about your customers. We also have an integration to track all interactions with the customer, so no info is lost. The salespipe is also an interesting feature which allows you to track potential cross and upsell with your customer base. They also have a great team which answer your questions and help you through the tool.  Overall Planhat is a CS tool with a lot of potential but they still need to hone on a lot of the functionalities they have. Review collected by and hosted on G2.com.","Planhat can be slow (happens often unfortunately), which means that you have to sit and stare at your screen waiting for it to load. 
",GIves a 360 view of your customer. You can work with different data regarding your customer. The CS team needed a tool which gave more insight into the customer journey.  Review collected by and hosted on G2.com.
Fábio R.,Customer Success Adviser,Small-Business,50 or fewer emp.,17-Jan-19,"""Very powerful tool""","I like the way Planhat helps me to keep track of all my customers. It has a good integration with SalesForce, Zendesk and Outlook. I never had to use their support, but heard great things from coworkers regarding setting a meeting for help or ideas how to improve. I am overall very impressed with Planhat. Review collected by and hosted on G2.com.","It takes some time to get used to the interface. It would be beneficial to be able to drag and drop customers in some sections (for instance, move a customer from one playbook to other). I like the info-graphics, but sometimes I am a bit annoyed by the filters (I often forget to click the 'Save' that sometimes is hidden at the bottom). Hopefully it will be more intuitive to view different graphics in the future. Review collected by and hosted on G2.com.",It allows me to develop good strategy to avoid churn. Review collected by and hosted on G2.com.
Labbé R.,CEO & Founder,Small-Business,50 or fewer emp.,19-Sep-19,"""Planhat is a very efficient tool""",The fact that everything is well organized in one place. Review collected by and hosted on G2.com.,Some interfaces are a bit too overloaded with information Review collected by and hosted on G2.com.,Try to put as many users as you can in your team to provide the maximum value Review collected by and hosted on G2.com.
Unknown,Unknown,Small-Business,50 or fewer emp.,18-Feb-19,"""Great support, indispensable customer success tool""","There's a lot of things I love about PH, but the two functions that make it indispensable for us are:
","Would love more ""trigger points"" for the playbooks. Right now the trigger points that I'm able to set up are a bit limited. Also, a desktop app would be great, especially with improving notifications of tasks.  Review collected by and hosted on G2.com.",Planhat is the way to go if you care about customer success. Review collected by and hosted on G2.com.
Jonas D.,Data Analytics Manager,Unknown,Unknown,02-Feb-19,"""Fast growing & flexible Customer Success tool""","We choose Planhat mainly because their technical setup and their extensive & structured API. As a customer we now experience the benefits of these technical advantages. We have build a custom integration but also use their out of the box integrations with Segment, Freshdesk & Promoter.io. In addition to these technical benefits their customer success team (& development team) is very responsive. Some of our feature requests were developed and implemented within a few weeks. Review collected by and hosted on G2.com.","Since Planhat is growing very fast and improving their product at a very high pace, sometimes some small bugs occur. But these have been solved very swiftly. Review collected by and hosted on G2.com.","If you are looking for a flexible customer success software solution with a clear and open API and a great support team, Planhat could be a good fit for your company. Just reach out to them and ask for a free trial or online demo of their product and you'll quickly learn what their benefits are compared to other solutions out here. Review collected by and hosted on G2.com."
Cassia C.,Consultora de Implantação,Small-Business,50 or fewer emp.,03-Jul-19,"""FERRAMENTA INTEGRATIVA DOS SETORES""",Comunicação fácil e rápida entre os setores Review collected by and hosted on G2.com.,"Demora no carregamento da página, o que às vezes prejudica a agilidade Review collected by and hosted on G2.com.","Agilidade e independência entre os setores, auxiliando na eficácia do meu trabalho de modo mais seguro. Review collected by and hosted on G2.com."
Jarren P.,Head of Customer Success,Mid-Market,51-1000 emp.,10-Feb-19,"""If you're not using Planhat, you're doing the wrong thing!""","Clean, simple UX and great customer support. Review collected by and hosted on G2.com.","Thus far, I haven't found anything in the platform to dislike. Review collected by and hosted on G2.com.","I would definitely recommend Planhat to anyone who is trying to implement robust processes and systems around Customer Sucess. From implementation to usage, the product and support have been a pleasure to deal with. Review collected by and hosted on G2.com."
Gregg J.,Unknown,Small-Business,50 or fewer emp.,15-Oct-18,"""Customer success software review""",I like Planhat because it is saving me and my team a huge amount of time every day but took relatively little time to set up. I think we use all the bells and whistles and it does a great job as a CS platform. Particularly like it for Onboarding and working with clients around major projects as well as getting insights about user data and things like healthscores. Very good tool. Review collected by and hosted on G2.com.,id like to be able to invoice directly from planhat. Review collected by and hosted on G2.com.,Highly recommended - good tool. Review collected by and hosted on G2.com.
Unknown,Unknown,Small-Business,50 or fewer emp.,15-Oct-18,"""We are lowering churn with Planhat""","It is 100% helping us lower churn. 
",Nothing at the moment. So happy to have Planhat Review collected by and hosted on G2.com.,Im a big fan of Planhat. its done exactly what we needed and the team has been incredibly easy to work with. Its also very fast to implement. Review collected by and hosted on G2.com.
Jenny S.,Unknown,Small-Business,50 or fewer emp.,01-Oct-18,"""Planhat review""","1. Planhat implementation is straightforward
","1. Not a lot to say here.
",Great company to work with and lots of interesting ideas about CS. Review collected by and hosted on G2.com.
Todd L.,Customer Success Manager,Unknown,Unknown,04-Mar-19,"""Great platform""",Very configurable to your health tracking needs. Awesome customer service as well. Review collected by and hosted on G2.com.,Some parts were a little too tricky to setup and required a bit of learning. Review collected by and hosted on G2.com.,"High-level overview of customer base + analysing trends.
"
Cherry W.,CS Manager,Enterprise,> 1000 emp.,31-Oct-18,"""Review for Planhat""","I really like the Planhat UI. Its clean, simple and helps me see everything i want to where I want it.
",i dislike that i lived with gdocs and trello for a long time before planhat!  Review collected by and hosted on G2.com.,Start slowly and add in functionality gradually so it becomes part of daily processes. Review collected by and hosted on G2.com.
Unknown,Unknown,Small-Business,50 or fewer emp.,25-Sep-18,"""Big advocate for Planhat!!""",Planhat's UI is very clean and they are clearly innovating in the customer success space. It was very easy (surprisingly easy) to get all our systems integrated and data flowing over their API. Their approach to onboarding was good - they pushed us hard to be at value quickly and always delivered on their parts. I like that they have good ideas about Success and challenged how we do things to be at best practices. I also like their revenue module - it gives me exactly the data I need in a clean and exportable format.  Review collected by and hosted on G2.com.,They have some great tools around Onboarding but they are relatively new and need some additional features. Its in the roadmap but I hope this review pushes them to build them more.  Review collected by and hosted on G2.com.,use them to help with your cs strategy - they seem to know their stuff! Review collected by and hosted on G2.com.
Unknown,Unknown,Small-Business,50 or fewer emp.,12-Sep-18,"""Planhat is a great CS tool""","1. Strong consultation and advice around CS strategy. They really helped us figure out salary models as an example.
","Nothing jumps off the page for dislikes and in fairness they do justify what they have and dont have in the product pretty well. I think they should probably make the range of their API better known. We were able to find a lot of endpoints which meant pushing usage data was very easy, but their API documentation doesnt list them all - not sure why though.  Review collected by and hosted on G2.com.",We manage all our customer lifecycles in Planhat as well as all customer marketing and revenue management. Time saving is huge and just the level of insight and visibilttiy you get is great. Weve had strong adoption at all levels of the org which says a lot. Review collected by and hosted on G2.com.
Unknown,Unknown,Small-Business,50 or fewer emp.,12-Sep-18,"""Very Strong Customer Success tool""",Superb user interface - very easy to use but also very action oriented meaning we don't waste time clicking on unnecessary features. Design is very smart for a CS rep and the team offers great input to CS methodology. What I like most though is they seem to be trying to innovate in the space. Everyone knows the largest players but they are also very expensive. Planhat is genuinely challenging them with some smart innovations and a more reasonable pricing model. Review collected by and hosted on G2.com.,"Its important to think through what metrics you want to focus on and while Planhat's API has been incredibly helpful, you will need some dev time to send data over in the first place. We started using for workflow management before bringing in usage data which probably wasn't a bad thing as it made it part of our day to day life early on. Review collected by and hosted on G2.com.","When evaluating CS Platforms, think through workflow a lot. Planhat is incredibly strong on managing CS workflow and likely supports use cases that other platforms do not. Also ask them a lot of questions - they seem to be very transparent. Review collected by and hosted on G2.com."
Unknown,Unknown,Enterprise,> 1000 emp.,12-Jun-18,"""The best Customer Success tool out there ""","* The easy to use interface 
",As with all Customer Success tools you need to spend time setting it up and to define what KPIs you should prioritize.  Review collected by and hosted on G2.com.,"With a large number of CSMs spread across the world, one of our main challenges have been to provide them insights about how to prioritize which customers to speak to on a daily and weekly basis. With Planhat we get great insights on which customers are at risk of churning and which have the potential to buy more as well as the ability to integrate playbooks, ensuring that each CSMs knows which customer to call and what to speak to them about.  Review collected by and hosted on G2.com."
Unknown,Unknown,Enterprise,> 1000 emp.,08-Jun-18,"""The best Customer Success Management Platform""","Great technology, strong team! 
",Nothing comes to mind. I think its important that people know what they want to do with a customer success platform. There are many functionalities but they may not be needed by everyone. Review collected by and hosted on G2.com.,We did a comprehensive RFP and looked through most of the vendors in the space. I think it's important that people know what they are looking for and ask tough questions!  Review collected by and hosted on G2.com.
Unknown,Unknown,Mid-Market,51-1000 emp.,31-Oct-18,"""Quick planhat review""","great team, clean UI, all the info i need about clients in one place and automations save me a lot of time. Review collected by and hosted on G2.com.",not much - id like to do more with it as there is a lot of potential. Review collected by and hosted on G2.com.,"Planhat can be the backbone of your cs strategy if you take time to think through desired milestones and outcomes, and customise the system around them. Review collected by and hosted on G2.com."
Unknown,Unknown,Enterprise,> 1000 emp.,11-Jun-18,"""Actionable insights for our Customer Success team!""","First of all they have a very intuitive and easy-to-use UI, something that was vital for us to ensure good adoption and daily use of the platform from our CS Reps.
","It would be great to meet other Planhat users in a client community to discuss peer-2-peer practices & experiences.
 Review collected by and hosted on G2.com.","Make sure that you benchmark different tools out there in your consideration phase.
"
Unknown,Unknown,Enterprise,> 1000 emp.,01-Jun-18,"""Great tool for client success teams - helps you proactively tackle churn risk clients""","PlanHat has helped our client success team focus their efforts on churn risk clients. The tool provides full transparency, allowing you to see which PLIs are not adopted. One of the most difficult parts of client success is prioritization and this tool does 50% of the work for you. The PlanHat team has also been very accommodating during our onboarding by implementing requests quickly!  Review collected by and hosted on G2.com.","Although the tool is easy to learn, your team will definitely need a training before using the tool. There is specific 'PlanHat' lingo that is key and your team won't know the intricacies of the system intuitively.  Review collected by and hosted on G2.com.",Prioritizing churn-risk clients well in advance of their expiration. PlanHat has afforded our client success team with the tools they need to proactively target churn risk clients while also providing our management team with an easy way to measure portfolio health.  Review collected by and hosted on G2.com.
Unknown,Unknown,Enterprise,> 1000 emp.,03-Oct-18,"""Great tool for Onboarding and customer management""","We have an edge use case of Planhat but it performs very well for what we need. Our focus is onboarding clients for programmes in our department  and we moved from google docs, spreadsheets and trello to Planhat and havent looked back. Love having all the communication in one place and find the onboarding tools very intuitive. We all use for surveying. Review collected by and hosted on G2.com.",it does what i need it to do so nothing to put here. Review collected by and hosted on G2.com.,Its good for Onboarding if you are managing the process - not sure about automated onboarding. Review collected by and hosted on G2.com.
Kristian O.,Unknown,Mid-Market,51-1000 emp.,13-Apr-18,"""A great tool to be able to handle your clients. ""","The adoption feature they offer is a great way to know if our customers are using the tool and specific features, and if not, it let’s me know I need to reach out to them. It is a great addition to the health score!
","Not much to dislike. I think the system have endless of opportunities, you just need to use them :)  Review collected by and hosted on G2.com.","Having an idea of what your goals are for using the tool is great so you can start to see value right away. But if you're not quite sure their team is really helpful and they are more than happy to dig and problem solve with you. 
 Review collected by and hosted on G2.com."
Unknown,Unknown,Small-Business,50 or fewer emp.,13-Sep-18,"""very happy - good tool for CS teams""",UI is very easy to navigate. Product has been well thought out. They are innovating in the space and have a lot of good ideas about CS. It is helping us be more customer centric as an organisation. Review collected by and hosted on G2.com.,nothig in particular - all products have things you would like more from but generally Planhat is very good at what it does. Review collected by and hosted on G2.com.,They have a very innovative team - talk to them. Review collected by and hosted on G2.com.
Unknown,Unknown,Mid-Market,51-1000 emp.,10-Apr-18,"""Great tool for CS/CX""",#NAME?,"- There is nothing I dislike, any bug or error that I've found the support team and Niklas have been very fast in resolving.  Review collected by and hosted on G2.com.",#NAME?
Ashwin R.,CEO,Small-Business,50 or fewer emp.,07-Feb-18,"""Terrible Experience""",I liked my initial interactions with Niklas Skag and the fact that they gave us a short trial to evaluate Planhat Review collected by and hosted on G2.com.,"The software really didn't work - we stopped using it within weeks of getting into contract. But, since we had an annual contract, I decided to continue paying. It was afterall, our mistake for signing up for them after evaluation and getting into an annual contract.
",We were looking for a system that we could use for better managing our customer success software. We haven't seen much in terms of actual benefits from PlanHat. Review collected by and hosted on G2.com.
Colin H.,Unknown,Enterprise,> 1000 emp.,29-May-18,"""Planhat to Drive Adoption""",Planhat lets me easily asses and ID clients who need proactive consultation from our team to drive stronger product adoption Review collected by and hosted on G2.com.,Full integration of the tool can take a while  Review collected by and hosted on G2.com.,"We use Planhat to monitor our client's engagement within our own platform to proactively identify churn risks, opportunities for stronger adoption and areas for growth. Review collected by and hosted on G2.com."
